FSTV_ID,FSTV_REPS_NM,BASE_YEAR,FSTV_PERD_CNT,TOT_LOCAL,TOT_OUT,TOT_FORE,TOTAL_COL,PRE_TOTAL,TOTAL_AVG,PRE_TOTAL_AVG,TOTAL_AVG_VAR,PRE_VAL,GROTH_VAL,LOCAL_TOU_NUM_RAT,OUT_TOU_NUM_RAT,FORE_TOU_NUM_RAT,GROTH_VAL_RATE,GROTH_MARK,DISP_YN,SIDO_NM,지역,FSTV_BGNG_YMD,FSTV_END_YMD,시작월,일평균,외지인_일평균,FSTV_YEAR,SGG_NM,외지인소비,외지인_방문당소비
KCTF0001,강경젓갈축제,2018,5,50642.0,59291.0,0.0,109933.0,,21986.6,,,,109933.0,46.07,53.93,0.0,0.0,,N,충청남도,논산시,2018-10-10,2018-10-14,10,21986.6,11858.2,2018,논산시,769344577.6000001,12975.739616467932
KCTF0001,강경젓갈축제,2022,5,57971.0,69910.0,109.0,127990.0,109933.0,25598.0,21986.6,16.4,109933.0,18057.0,45.29,54.62,0.09,16.43,▲,N,충청남도,논산시,2022-10-12,2022-10-16,10,25598.0,13982.0,2022,논산시,912451524.6,13051.802669146045
KCTF0001,강경젓갈축제,2023,4,52282.0,71999.0,143.0,124424.0,127990.0,31106.0,25598.0,21.5,127990.0,-3566.0,42.02,57.87,0.11,-2.79,▼,N,충청남도,논산시,2023-10-19,2023-10-22,10,31106.0,17999.75,2023,논산시,774491825.5999997,10756.980313615462
KCTF0002,강릉커피축제,2018,5,61368.0,82621.0,0.0,143989.0,,28797.8,,,,143989.0,42.62,57.38,0.0,0.0,,N,강원특별자치도,강릉시,2018-10-05,2018-10-09,10,28797.8,16524.2,2018,강릉시,1157759801.1,14012.899881386087
KCTF0002,강릉커피축제,2019,4,98907.0,61246.0,0.0,160153.0,143989.0,40038.25,28797.8,39.0,143989.0,16164.0,61.76,38.24,0.0,11.23,▲,N,강원특별자치도,강릉시,2019-10-03,2019-10-06,10,40038.25,15311.5,2019,강릉시,173615524.9,2834.7243068935113
KCTF0002,강릉커피축제,2022,4,144613.0,113950.0,65.0,258628.0,160153.0,64657.0,40038.25,61.5,160153.0,98475.0,55.92,44.06,0.03,61.49,▲,N,강원특별자치도,강릉시,2022-10-07,2022-10-10,10,64657.0,28487.5,2022,강릉시,244489168.50000003,2145.582874067574
KCTF0002,강릉커피축제,2023,4,170198.0,64362.0,198.0,234758.0,258628.0,58689.5,64657.0,-9.2,258628.0,-23870.0,72.5,27.42,0.08,-9.23,▼,N,강원특별자치도,강릉시,2023-10-12,2023-10-15,10,58689.5,16090.5,2023,강릉시,150570409.6,2339.4302476616635
KCTF0002,강릉커피축제,2024,4,105147.0,72600.0,569.0,178316.0,234758.0,44579.0,58689.5,-24.0,234758.0,-56442.0,58.97,40.71,0.32,-24.04,▼,N,강원특별자치도,강릉시,2024-10-24,2024-10-27,10,44579.0,18150.0,2024,강릉시,581161235.5999999,8004.9756969696955
KCTF0002,강릉커피축제,2025,4,112193.0,73754.0,557.0,186504.0,178316.0,46626.0,44579.0,4.6,178316.0,8188.0,60.16,39.55,0.3,4.59,▲,N,강원특별자치도,,2025-10-30,2025-11-02,10,46626.0,18438.5,2025,강릉시,907816253.7,12308.705340727283
KCTF0003,강진청자축제,2018,7,20025.0,38289.0,0.0,58314.0,,8330.5714,,,,58314.0,34.34,65.66,0.0,0.0,,N,전라남도,강진군,2018-07-28,2018-08-03,7,8330.57142857143,5469.857142857143,2018,강진군,44029598.5,1149.9281386298937
KCTF0003,강진청자축제,2019,7,20437.0,34432.0,0.0,54869.0,58314.0,7838.4286,8330.5714,-5.9,58314.0,-3445.0,37.25,62.75,0.0,-5.91,▼,N,전라남도,강진군,2019-10-03,2019-10-09,10,7838.428571428572,4918.857142857143,2019,강진군,43396782.8,1260.3619539962824
KCTF0003,강진청자축제,2023,7,29091.0,54965.0,58.0,84114.0,54869.0,12016.2857,7838.4286,53.3,54869.0,29245.0,34.59,65.35,0.07,53.3,▲,N,전라남도,강진군,2023-02-23,2023-03-01,2,12016.285714285714,7852.142857142857,2023,강진군,57921862.79999999,1053.7953752387882
KCTF0004,고령대가야축제,2018,4,35988.0,43918.0,0.0,79906.0,,19976.5,,,,79906.0,45.04,54.96,0.0,0.0,,N,경상북도,고령군,2018-04-12,2018-04-15,4,19976.5,10979.5,2018,고령군,204583279.6,4658.3013707363725
KCTF0004,고령대가야축제,2019,4,37307.0,54113.0,0.0,91420.0,79906.0,22855.0,19976.5,14.4,79906.0,11514.0,40.81,59.19,0.0,14.41,▲,N,경상북도,고령군,2019-04-11,2019-04-14,4,22855.0,13528.25,2019,고령군,197004108.0,3640.605917247242
KCTF0004,고령대가야축제,2022,4,38013.0,57655.0,34.0,95702.0,91420.0,23925.5,22855.0,4.7,91420.0,4282.0,39.72,60.24,0.04,4.68,▲,N,경상북도,고령군,2022-05-05,2022-05-08,5,23925.5,14413.75,2022,고령군,307295202.5,5329.8968432919955
KCTF0004,고령대가야축제,2023,3,33054.0,55609.0,173.0,88836.0,95702.0,29612.0,23925.5,23.8,95702.0,-6866.0,37.21,62.6,0.19,-7.17,▼,N,경상북도,고령군,2023-03-31,2023-04-02,3,29612.0,18536.333333333332,2023,고령군,233491045.9,4198.799581003075
KCTF0004,고령대가야축제,2024,3,30901.0,57526.0,232.0,88659.0,88836.0,29553.0,29612.0,-0.2,88836.0,-177.0,34.85,64.88,0.26,-0.2,▼,N,경상북도,고령군,2024-03-29,2024-03-31,3,29553.0,19175.333333333332,2024,고령군,246008941.7,4276.482663491291
