조회연도,DIV_NM,ROWNUM,EMD_CD,EMD_NM,ITS_BRO_ID,ITS_BRO_NM,ADDR_ROAD_NM,KTO_CATE_SCLS_NM,SRCH_CNT
2024,전체,1,47170510,중구동,1155859,안동국제탈춤페스티벌,경북 안동시 육사로 239-0,기타문화관광지,7978
2024,전체,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,6018
2024,전체,3,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,5978
2024,전체,4,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,1592
2024,전체,5,47170510,중구동,10225842,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설,1156
2024,전체,6,47170510,중구동,2882464,안동중앙문화의거리,경북 안동시,기타쇼핑시설,758
2024,전체,7,47170510,중구동,10348065,모디684,경북 안동시 경동로 684-0,기타문화관광지,328
2024,전체,8,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,322
2024,전체,9,47170510,중구동,8989342,빙수곳간,경북 안동시 육사로 323-0,테마공원,288
2024,전체,10,47170510,중구동,1312936,안동임청각공사중(2024년 완공예정),경북 안동시 임청각길 63-0,역사유적지,208
2024,전체,11,47170510,중구동,10225844,백조공원,경북 안동시 육사로 218-12,도시공원,118
2024,전체,12,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,98
2024,전체,13,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,64
2024,전체,14,47170510,중구동,10935412,탈춤공원눈썰매장,경북 안동시 육사로 239-0,육상레저스포츠,56
2024,전체,15,47170510,중구동,2265417,고성이씨탑동종택,경북 안동시 임청각길 103-0,역사유적지,40
2024,전체,16,47170510,중구동,399236,해동사,경북 안동시 성진1길 0-0,종교성지,30
2024,전체,17,47170510,중구동,126,법흥사지칠층전탑,경북 안동시,역사유물,26
2024,전체,17,47170510,중구동,1312649,안동태사묘,경북 안동시 태사길 13-0,역사유적지,26
2024,전체,19,47170510,중구동,5391504,신세동벽화마을,경북 안동시 동부길 0-0,기타관광,20
2024,전체,20,47170510,중구동,49938,임청각군자정공사중(2024년 완공예정),경북 안동시,역사유적지,14
2024,전체,20,47170510,중구동,8718505,안동역급수탑,경북 안동시,역사유적지,14
2024,전체,22,47170510,중구동,11638858,비에스아트홀,경북 안동시 태사길 110-0,공연시설,12
2024,전체,23,47170510,중구동,5976674,안동벚꽃길,경북 안동시 육사로 239-0,기타관광,10
2024,현지인,1,47170510,중구동,1155859,안동국제탈춤페스티벌,경북 안동시 육사로 239-0,기타문화관광지,1286
2024,현지인,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,1052
2024,현지인,3,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,916
2024,현지인,4,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,382
2024,현지인,5,47170510,중구동,10225842,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설,184
2024,현지인,6,47170510,중구동,2882464,안동중앙문화의거리,경북 안동시,기타쇼핑시설,128
2024,현지인,7,47170510,중구동,8989342,빙수곳간,경북 안동시 육사로 323-0,테마공원,96
2024,현지인,8,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,62
2024,현지인,9,47170510,중구동,10348065,모디684,경북 안동시 경동로 684-0,기타문화관광지,50
2024,현지인,9,47170510,중구동,1312936,안동임청각공사중(2024년 완공예정),경북 안동시 임청각길 63-0,역사유적지,50
2024,현지인,11,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,28
2024,현지인,12,47170510,중구동,10225844,백조공원,경북 안동시 육사로 218-12,도시공원,16
2024,현지인,12,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,16
2024,현지인,14,47170510,중구동,2265417,고성이씨탑동종택,경북 안동시 임청각길 103-0,역사유적지,14
2024,현지인,15,47170510,중구동,10935412,탈춤공원눈썰매장,경북 안동시 육사로 239-0,육상레저스포츠,12
2024,현지인,16,47170510,중구동,399236,해동사,경북 안동시 성진1길 0-0,종교성지,8
2024,현지인,16,47170510,중구동,126,법흥사지칠층전탑,경북 안동시,역사유물,8
2024,현지인,16,47170510,중구동,1312649,안동태사묘,경북 안동시 태사길 13-0,역사유적지,8
2024,현지인,19,47170510,중구동,5391504,신세동벽화마을,경북 안동시 동부길 0-0,기타관광,6
2024,현지인,19,47170510,중구동,49938,임청각군자정공사중(2024년 완공예정),경북 안동시,역사유적지,6
2024,현지인,19,47170510,중구동,8718505,안동역급수탑,경북 안동시,역사유적지,6
2024,현지인,19,47170510,중구동,11638858,비에스아트홀,경북 안동시 태사길 110-0,공연시설,6
2024,현지인,23,47170510,중구동,5976674,안동벚꽃길,경북 안동시 육사로 239-0,기타관광,4
2025,외지인,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,5996
