조회_시도,조회기간,SIDO_CD,SIDO_NM,NIGHT_SRCH_CNT,SRCH_CNT,RATE_NUM
47,2025,52,전북특별자치도,886533,7222361,12.27
47,2025,48,경상남도,1584438,13303597,11.91
44,2024_1-8,11,서울특별시,7429793,29434396,25.24
44,2024_1-8,27,대구광역시,1211193,5470002,22.14
44,2024_1-8,30,대전광역시,927963,4526049,20.5
44,2024_1-8,28,인천광역시,2689292,13246163,20.3
44,2024_1-8,26,부산광역시,2160866,10880976,19.86
44,2024_1-8,31,울산광역시,537579,2745175,19.58
44,2024_1-8,36,세종특별자치시,245314,1263124,19.42
44,2024_1-8,41,경기도,12528104,67781160,18.48
44,2024_1-8,12,전남광주통합특별시,1547848,9137800,16.94
44,2024_1-8,50,제주특별자치도,930566,5555679,16.75
44,2024_1-8,43,충청북도,997576,6354860,15.7
44,2024_1-8,44,충청남도,1618474,10441214,15.5
44,2024_1-8,47,경상북도,1302436,8550724,15.23
44,2024_1-8,51,강원특별자치도,2319537,15797225,14.68
44,2024_1-8,48,경상남도,1375026,9438926,14.57
44,2024_1-8,52,전북특별자치도,567766,4220287,13.45
44,2026_1-8,11,서울특별시,5743494,24430480,23.51
44,2026_1-8,27,대구광역시,828771,4434136,18.69
44,2026_1-8,28,인천광역시,2151468,11616018,18.52
44,2026_1-8,26,부산광역시,1694938,9450082,17.94
44,2026_1-8,30,대전광역시,652789,3920565,16.65
44,2026_1-8,41,경기도,9556462,57625714,16.58
44,2026_1-8,31,울산광역시,319034,1951596,16.35
44,2026_1-8,36,세종특별자치시,138327,920040,15.03
44,2026_1-8,50,제주특별자치도,626651,4231087,14.81
44,2026_1-8,51,강원특별자치도,2371598,16202312,14.64
44,2026_1-8,12,전남광주통합특별시,1053983,7241479,14.55
44,2026_1-8,43,충청북도,736613,5290856,13.92
44,2026_1-8,47,경상북도,991055,7469634,13.27
44,2026_1-8,44,충청남도,1228970,9348006,13.15
44,2026_1-8,52,전북특별자치도,561834,4446708,12.63
44,2026_1-8,48,경상남도,991375,7988143,12.41
44,2025,11,서울특별시,10265812,43069330,23.84
44,2025,27,대구광역시,1478346,7722087,19.14
44,2025,28,인천광역시,3572672,19160176,18.65
44,2025,26,부산광역시,2888977,15897490,18.17
44,2025,30,대전광역시,1132017,6622306,17.09
44,2025,31,울산광역시,576425,3452657,16.7
44,2025,41,경기도,15696319,95608719,16.42
44,2025,36,세종특별자치시,263676,1646841,16.01
44,2025,50,제주특별자치도,1085588,7232970,15.01
44,2025,12,전남광주통합특별시,1754717,12174524,14.41
44,2025,51,강원특별자치도,3205491,23589091,13.59
44,2025,44,충청남도,1829165,14184584,12.9
44,2025,43,충청북도,1085231,8578672,12.65
44,2025,47,경상북도,1523973,12205835,12.49
44,2025,52,전북특별자치도,886533,7222361,12.27
44,2025,48,경상남도,1584438,13303597,11.91
52,2024_1-8,11,서울특별시,7429793,29434396,25.24
52,2024_1-8,27,대구광역시,1211193,5470002,22.14
52,2024_1-8,30,대전광역시,927963,4526049,20.5
52,2024_1-8,28,인천광역시,2689292,13246163,20.3
52,2024_1-8,26,부산광역시,2160866,10880976,19.86
52,2024_1-8,31,울산광역시,537579,2745175,19.58
52,2024_1-8,36,세종특별자치시,245314,1263124,19.42
52,2024_1-8,41,경기도,12528104,67781160,18.48
52,2024_1-8,12,전남광주통합특별시,1547848,9137800,16.94
52,2024_1-8,50,제주특별자치도,930566,5555679,16.75
52,2024_1-8,43,충청북도,997576,6354860,15.7
52,2024_1-8,44,충청남도,1618474,10441214,15.5
52,2024_1-8,47,경상북도,1302436,8550724,15.23
52,2024_1-8,51,강원특별자치도,2319537,15797225,14.68
52,2024_1-8,48,경상남도,1375026,9438926,14.57
52,2024_1-8,52,전북특별자치도,567766,4220287,13.45
52,2026_1-8,11,서울특별시,5743494,24430480,23.51
52,2026_1-8,27,대구광역시,828771,4434136,18.69
52,2026_1-8,28,인천광역시,2151468,11616018,18.52
52,2026_1-8,26,부산광역시,1694938,9450082,17.94
52,2026_1-8,30,대전광역시,652789,3920565,16.65
52,2026_1-8,41,경기도,9556462,57625714,16.58
52,2026_1-8,31,울산광역시,319034,1951596,16.35
52,2026_1-8,36,세종특별자치시,138327,920040,15.03
52,2026_1-8,50,제주특별자치도,626651,4231087,14.81
52,2026_1-8,51,강원특별자치도,2371598,16202312,14.64
