조회_시도,조회기간,DT,SIDO_CD,SGG_CD,NIGHT_SRCH_CNT,SRCH_CNT,RATE_NUM
43,2026_1-8,202608,00,00000,4651471,27058412,17.19
43,2025,202501,00,00000,3045023,18951852,16.07
43,2025,202502,00,00000,2797322,16266872,17.2
43,2025,202503,00,00000,3404229,20852902,16.32
43,2025,202504,00,00000,3602402,21340662,16.88
43,2025,202505,00,00000,4303840,26887540,16.01
43,2025,202506,00,00000,3974019,23385099,16.99
43,2025,202507,00,00000,4371391,23318682,18.75
43,2025,202508,00,00000,4818478,27565622,17.48
43,2025,202509,00,00000,3758414,20752514,18.11
43,2025,202510,00,00000,7249759,46561133,15.57
43,2025,202511,00,00000,3940911,25854020,15.24
43,2025,202512,00,00000,3563592,19934342,17.88
00,2024_1-8,202401,00,00000,3243215,18256954,17.76
00,2024_1-8,202402,00,00000,3119281,18507594,16.85
00,2024_1-8,202403,00,00000,3979897,23016332,17.29
00,2024_1-8,202404,00,00000,4158886,23682187,17.56
00,2024_1-8,202405,00,00000,4891837,27613623,17.72
00,2024_1-8,202406,00,00000,5364706,27850975,19.26
00,2024_1-8,202407,00,00000,6725099,31261860,21.51
00,2024_1-8,202408,00,00000,6906412,34654235,19.93
00,2026_1-8,202601,00,00000,2908522,18265121,15.92
00,2026_1-8,202602,00,00000,2927178,18889471,15.5
00,2026_1-8,202603,00,00000,3034748,19417137,15.63
00,2026_1-8,202604,00,00000,3789300,21685547,17.47
00,2026_1-8,202605,00,00000,4507734,27534527,16.37
00,2026_1-8,202606,00,00000,3673302,20677594,17.76
00,2026_1-8,202607,00,00000,4155107,23039047,18.04
00,2026_1-8,202608,00,00000,4651471,27058412,17.19
00,2025,202501,00,00000,3045023,18951852,16.07
00,2025,202502,00,00000,2797322,16266872,17.2
00,2025,202503,00,00000,3404229,20852902,16.32
00,2025,202504,00,00000,3602402,21340662,16.88
00,2025,202505,00,00000,4303840,26887540,16.01
00,2025,202506,00,00000,3974019,23385099,16.99
00,2025,202507,00,00000,4371391,23318682,18.75
00,2025,202508,00,00000,4818478,27565622,17.48
00,2025,202509,00,00000,3758414,20752514,18.11
00,2025,202510,00,00000,7249759,46561133,15.57
00,2025,202511,00,00000,3940911,25854020,15.24
00,2025,202512,00,00000,3563592,19934342,17.88
