조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,TOU_NUM_RATE,TAR_SGG_CD,TDIV
47170,경상북도 안동시,202601-202608,경상북도 예천군 , 경상북도 안동시,20.1,47900,1
47170,경상북도 안동시,202601-202608,경상북도 영주시 , 경상북도 안동시,10.9,47210,1
47170,경상북도 안동시,202601-202608,경상북도 의성군 , 경상북도 안동시,6.4,47730,1
47170,경상북도 안동시,202601-202608,경상북도 청송군 , 경상북도 안동시,4.3,47750,1
47170,경상북도 안동시,202601-202608,경상북도 구미시 , 경상북도 안동시,3.0,47190,1
47170,경상북도 안동시,202601-202608,대구광역시 북구 , 경상북도 안동시,2.6,27230,1
47170,경상북도 안동시,202601-202608,경상북도 문경시 , 경상북도 안동시,2.4,47280,1
47170,경상북도 안동시,202601-202608,대구광역시 군위군 , 경상북도 안동시,2.3,27720,1
47170,경상북도 안동시,202601-202608,경상북도 영덕군 , 경상북도 안동시,2.1,47770,1
47170,경상북도 안동시,202601-202608,충청북도 단양군 , 경상북도 안동시,1.9,43800,1
47170,경상북도 안동시,202601-202608,경상북도 칠곡군 , 경상북도 안동시,1.8,47850,1
47170,경상북도 안동시,202601-202608,경상북도 봉화군 , 경상북도 안동시,1.8,47920,1
47170,경상북도 안동시,202601-202608,경상북도 상주시 , 경상북도 안동시,1.7,47250,1
47170,경상북도 안동시,202601-202608,대구광역시 달서구 , 경상북도 안동시,1.7,27290,1
47170,경상북도 안동시,202601-202608,대구광역시 동구 , 경상북도 안동시,1.6,27140,1
47170,경상북도 안동시,202601-202608,대구광역시 수성구 , 경상북도 안동시,1.5,27260,1
47170,경상북도 안동시,202601-202608,경상북도 포항시 북구 , 경상북도 안동시,1.5,47113,1
47170,경상북도 안동시,202601-202608,경상북도 영양군 , 경상북도 안동시,1.4,47760,1
47170,경상북도 안동시,202601-202608,강원특별자치도 원주시 , 경상북도 안동시,1.4,51130,1
47170,경상북도 안동시,202601-202608,경상북도 경주시 , 경상북도 안동시,1.1,47130,1
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 예천군,22.0,47900,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 영주시,13.6,47210,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 영덕군,5.6,47770,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 청송군,3.9,47750,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 의성군,3.7,47730,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 구미시,3.2,47190,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 봉화군,3.1,47920,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,대구광역시 동구,2.8,27140,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 문경시,2.7,47280,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 포항시 북구,2.6,47113,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 경주시,2.2,47130,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,대구광역시 북구,1.8,27230,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,대구광역시 수성구,1.7,27260,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,대구광역시 군위군,1.6,27720,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 상주시,1.5,47250,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,충청북도 제천시,1.4,43150,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 칠곡군,1.2,47850,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,경상북도 김천시,1.1,47150,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,대구광역시 달서구,1.1,27290,2
47170,경상북도 안동시,202601-202608, 경상북도 안동시,충청북도 단양군,1.0,43800,2
