_조회_시도,_조회_시군구,_조회_SGG_CD,SIDO_NM,PTL_SIDO_CD,TOU_NUM
서울특별시,영등포구,11560,마포구,11440,34740996.0
서울특별시,영등포구,11560,양천구,11470,2033500.0
서울특별시,영등포구,11560,강서구,11500,14651400.0
서울특별시,영등포구,11560,구로구,11530,5781224.0
서울특별시,영등포구,11560,금천구,11545,2915898.0
서울특별시,영등포구,11560,영등포구,11560,15067324.0
서울특별시,영등포구,11560,동작구,11590,4153260.0
서울특별시,영등포구,11560,관악구,11620,3737120.0
서울특별시,영등포구,11560,서초구,11650,14000367.0
서울특별시,영등포구,11560,강남구,11680,30914406.0
서울특별시,영등포구,11560,송파구,11710,10943018.0
서울특별시,영등포구,11560,강동구,11740,2253464.0
서울특별시,용산구,11170,종로구,11110,38279581.0
서울특별시,용산구,11170,중구,11140,77075991.0
서울특별시,용산구,11170,용산구,11170,27804648.0
서울특별시,용산구,11170,성동구,11200,13274264.0
서울특별시,용산구,11170,광진구,11215,5564339.0
서울특별시,용산구,11170,동대문구,11230,5824504.0
서울특별시,용산구,11170,중랑구,11260,1396396.0
서울특별시,용산구,11170,성북구,11290,4142046.0
서울특별시,용산구,11170,강북구,11305,1415784.0
서울특별시,용산구,11170,도봉구,11320,823849.0
서울특별시,용산구,11170,노원구,11350,1610859.0
서울특별시,용산구,11170,은평구,11380,2599819.0
서울특별시,용산구,11170,서대문구,11410,12033251.0
서울특별시,용산구,11170,마포구,11440,34740996.0
서울특별시,용산구,11170,양천구,11470,2033500.0
서울특별시,용산구,11170,강서구,11500,14651400.0
서울특별시,용산구,11170,구로구,11530,5781224.0
서울특별시,용산구,11170,금천구,11545,2915898.0
서울특별시,용산구,11170,영등포구,11560,15067324.0
